train_u_1,train_u_2,train_u_3,train_u_4,train_u_5,train_u_6,train_u_7,train_u_8,train_u_9,train_u_10,train_u_11,train_u_12,train_u_13
0.378393072712072,0.272060474355317,0.289905537261416,0.259293786603462,0.270427656883265,0.286409134308423,0.261835653424426,0.28538636800981,0.272646423269836,0.205609223373529,0.226679872814025,0.560173789606253,0.897933071163032
0.603700856522292,0.667768707343003,0.62055025382255,0.638558222758642,0.570834474377184,0.569452539720001,0.565850907285769,0.537112930389244,0.49326186382679,0.608371077074519,0.487110212166145,0.907419817311922,0.591492085556737
0.173351094164462,0.218961931050495,0.226140250774107,0.221958816324837,0.211654887712571,0.286307522471433,0.255815690292654,0.247010035686406,0.316164644978824,0.220708645495003,0.415800557638436,1.37620988316197,1.21634928213913
0.128762184012919,0.135345441827684,0.131506158761802,0.144288026420031,0.15609881072896,0.17517870156836,0.200391522307449,0.240353018943956,0.26670753172724,0.267259528288215,0.337983188303149,0.0820964790224927,0.0444731383495612
0.160784553964765,0.16161359772168,0.136296163548597,0.178448001109829,0.161663633471924,0.182498275408189,0.194595071204594,0.255467240853215,0.262078029775399,0.302319422796509,0.456352105931286,0.443936984466047,0.661661486514318
0.221380395373914,0.205327141104315,0.209910655430513,0.274524543903075,0.348520675799491,0.247142441523701,0.22273411954328,0.172234420227895,0.192556371946581,0.147273563283647,0.184266861772361,0.117623131185561,0.610677302676371
0.113475860639344,0.116184295692242,0.124682586005871,0.179495556119892,0.286908561510209,0.242124515569643,0.291404363587857,0.295827712188428,0.372849847123073,0.306323622670283,0.340755970447546,0.0589304387975571,0.0433889514849066
0.712838826419376,0.773307597530584,0.773483834174959,0.821179397033691,0.866073559692592,0.957015836729095,0.919198424683584,0.834651751430879,0.93131458162151,0.733780366750434,0.90090915331904,0.96377946482266,1.20088565335216
0.266739428167922,0.351391849459685,0.335205829607495,0.41342896564304,0.46169626424901,0.468980088474702,0.547822630586264,0.576022887675191,0.642406522723904,0.687175610348865,0.744617646614896,0.0743984911908047,0.0109042855074341
0.00314308410442767,0.00331618432435097,0.00286711131808348,0.00268229679827712,0.00217354835289422,0.000918359419602235,0.000972328667503007,0.00120411041926841,0.000865301106158264,0.00255980766750992,0.00251636199097836,0.0206821641000246,0.0417167175609445
0.576852362105384,0.584833709543732,0.592478547666909,0.561013986034062,0.541933010670648,0.603417110765183,0.650153752047799,0.710735183365453,0.704590531491261,0.746002532890513,0.702013862903697,0.0592102526995404,0.00606527418064027
0.333425996761269,0.28907435961317,0.293746310096555,0.35353101669619,0.427661712621263,0.391750475190019,0.407243849277145,0.390138543465072,0.419125222152657,0.3432448095147,0.321993800162774,0.0332043327078734,0.0919729808374697
0.596740818688576,0.627975225012678,0.646958698030062,0.730132446409897,0.85958395397319,0.847791607441297,0.864922238261599,0.797269561204853,0.892997744162779,0.757982191920801,0.748842280851459,0.377526141700269,0.139053410430985
0.042102502545378,0.0577991165872035,0.0523500837010725,0.0729797193953787,0.0840023505293565,0.0561810078028946,0.0589321952134084,0.0465364750932755,0.0531358160981038,0.0622693084047796,0.0635578974454233,0.0456077661481583,0.0456241238491806
0.0799544547416211,0.10846561773972,0.110953065208295,0.139570027351607,0.183051574625833,0.172572622005268,0.169916817490917,0.106595629783532,0.152308436245923,0.0846725330900509,0.0745953632851923,0.564194780248131,0.531527487437439
0.483253751199559,0.428182376991283,0.454906246980445,0.44525450856519,0.46803369991669,0.445672323922188,0.407579826593284,0.394129799755004,0.400119486670976,0.336515668406781,0.392039351816486,0.234871602244993,0.460348967091667
0.0545148414717686,0.101483319501472,0.0831535225035005,0.112872267742016,0.0943472255868192,0.0727934449170342,0.0675392231281838,0.0471260538999377,0.0521000786955667,0.0755505926207957,0.0902058991584384,0.349844328736597,0.371487485437116
0.0542583814483725,0.0676469851621277,0.0675320002416009,0.0852403868842401,0.100800778531968,0.0658324367494297,0.0650664772435518,0.048486500049405,0.0558636008836703,0.0567828321976587,0.0536244354876479,0.079141591695713,0.0847305870158631
0.432520155448422,0.424725550683633,0.415095282500144,0.390353783074656,0.365280717573969,0.392290080609303,0.387497419149131,0.37803706394553,0.358242846845097,0.35206851431973,0.304315271349157,0.36742950601727,0.326139739503749
